Numéros	Dates	Heures	Lieux	Dept ou pays	Cotes archives du dossier	Détails sommaires de l'observation	Média	Consultation
159	2002,07,05	22:30:00	La Mothe d’Aigues	83	20020507	Une formation de huit lumières rondes a été observée dans la région de Pertuis,	presse	Base ARCADIA
160	2002,07,08	23:30:00	Argonnay	74	20020807	Une boule lumineuse jaune s’est présenté face au témoin (env 300m de distance). Le vol était rectiligne et stable	 	Base ARCADIA
161	2002,08,21	23:59:00	Ville La Grand	74	20020821	"il etait 23h59 lorsque je vit une lueure dans le ciel a ville la grand 74100 et puis cette lueure se rapprocha peut apeut de moi"	 	Base ARCADIA
162	2002,09,17	22:05:00	Presles-en-Brie	77	20020917	une étoile filante traverser le ciel d'Ouest, vers l'Est sud Est pendant 5sec	 	Base ARCADIA
163	2002,10,27	22:52:00	Dijon	21	20021027	une boule orangée, près des immeubles, aucun bruit, ressemblant à un globe comme éclairé de l'intérieur en jaune orangé	 	Base ARCADIA
164	2002,10,27	06:26:00	Lyon	69	20021027b	par l'intermédiaire de caméras de surveillance: lumières qui sont apparues entre 6h26 et 7h15 du matin soit 49 minutes,	 	Base ARCADIA
165	2002,10,28	23:09:00	Saint Herblain	44	20021028	Objet se déplaçant de façon rectiligne à une vitesse évaluée à 300 km\h en direction sud-ouest, du ciel vers le sol. Cet objet était une boule de feu émettant une couleur verte très intense	 	Base ARCADIA
166	2002,10,01	22:10:00	Mont Ventoux	26	2000101	2 objets lumineux: Disques de formes ovoidales parfaitement alignés suivant une direction sud-ouest-nord-est.en direction du mont-ventoux, vu pendant 15sec	 	Base ARCADIA
167	2002,10,01	10:45:00	Nice	6	20021010	Mystérieux objet céleste évoluant dans un axe nord-ouest--ouest. Cet "OVNI" avait la forme d'un obus. Il était très brillant et se trouvait à moyenne altitude	 	Base ARCADIA
168	2002,11,09	21:15:00	Montauriol	47	20021109	Engin lumineux derrière une butte de terre qui longe la route, une lueur blanchatre s'est dégagée et se rapprocha de la voiture du témoin	presse régionale	Base ARCADIA
169	2002,11,24	17:00:00	La Bassée	59	20021124	Objet sombre, de forme ovoide volant au dessus des champs, à une distance d'à peu pres 1km	 	Base ARCADIA
170	2002,12,10	23:15:00	Rouen	76	20021210	Objet de forme triangulaire ,de taille assez importante, et de couleur orange	 	Base ARCADIA
171	2002,03,26	 	An Najaf	Irak	20030326	Un objet lumineux désigné du doigt par un soldat américain. Le commentaire du journaliste	Vidéo Euronews	Base ARCADIA

d'Euronews ne mentionne rien à ce sujet
172	2003,05	 	Andolsheim	68	20030500	Objet de couleur blanc brillant argenté	 	Base ARCADIA
173	2003,06,01	17:00:00	Louvroil	59	20030601	Très grosse étoile en forme de bol renversé. En vol lent, l'objet a rapidement disparu	 	Base ARCADIA
174	2003,06,07	19:00:00	Bagneux	92	20030607	Objet argenté sans aile en vol rapide, 5mm bdb, soit une estimation en grandeur réelle de 27 à 45m	 	Base ARCADIA
175	2003,07,15	22:25:00	Belley	1	20030715	une boule pas tout à fait ronde, type météorite	 	Base ARCADIA
176	2003,07,25	 	La taïga	Russie - Sibérie	20030725	Une météorite géante a ravagé 100 km2 de taïga sibérienne en septembre 2002	 	Base ARCADIA
177	2003,08,01	23:30:00	Rennes le Château	11	20030801	Un phénomène lumineux très étincelant. Une queue flamboyante, type comète, ressortait à l'arrière	 	Base ARCADIA

de l'objet en vol rectiligne. Il a disparu en passant derrière le Mont Bugarach.
178	2003,08,15	22:30:00	Bugarach	11	20030815	3 témoins ont observé une boule de lumière en direction de Bugarach pendant plus de 15 minutes. Cet objet, inhabituel selon eux, évoluait dans un sens gauche à droite et de haut en bas.	 	Base ARCADIA
179	2003,08,17	03:30:00	Mont Bugarach	11	20030816	Phénomène électromagnétique dans le nuage (le fameux chapeau) couvrant le sommet de la montagne.	 	Base ARCADIA
180	2003,08,16	23:00:00	Esperaza	11	20030816b	3 feux bleus formant un triangle dans le ciel	 	Base ARCADIA
181	2003,08,26	00:22:00	Ambert	63	20030826	Bolide, trajectoire sud est vers nord ouest	 	Base ARCADIA
182	2003,08,14	 	Amérique du Nord	usa - Canada	20030814	Panne d'electricité géante; Virus informatique ou OVNI	 	Base ARCADIA
183	2003,08,12	23:00:00	Château Renaud	37	20030812	Boule de lumière blanche effectuant un vol non conventionnel	 	Base ARCADIA
184	2003,09,01	23:00:00	Annecy le Vieux	74	20030901	5 boules lumineuses orange évoluant en formation.	 	Base ARCADIA
185	2003,09,13	23:00:00	Louviers	27	20030913	Objet de forme triangulaire et disposait de plusieurs feux de différentes couleurs. Sa vitesse a été évalué approximativement à 100km/h ou plus, vu pendant 5min	 	Base ARCADIA
186	2003,09,16	21:36:00	Louviers	27	20030916	Objet de type météore en vol horizontal rectiligne	 	Base ARCADIA
